feature_set,warning_feature,target,use_smote,#models_F1_mean_improved / 6,#models_F1_median_improved / 6,#models_improved_both_F1(median+mean) / 6,#models_improved_F1_mean_with_statistical_significance / 6,#models_improved_F1_median_with_statistical_significance / 6,#models_improved_both_F1(mean+median)_with_statistical_significance / 6,avg(mean_F1_improvement),median(mean_F1_improvement),q3(mean_F1_improvement),avg(median_F1_improvement),median(median_F1_improvement),q3(median_F1_improvement),#models_AUC_mean_improved / 6,#models_AUC_median_improved / 6,#models_improved_both_AUC(median+mean) / 6,#models_improved_in_F1(median+mean)+AUC(median+mean) / 12,#models_improved_AUC_mean_with_statistical_significance / 6,#models_improved_AUC_median_with_statistical_significance / 6,#models_improved_both_AUC(mean+median)_with_statistical_significance / 6,#models_improved_F1(mean+median)+AUC(mean+median)_with_statistical_significance / 12,avg(mean_AUC_improvement),median(mean_AUC_improvement),q3(mean_AUC_improvement),avg(median_AUC_improvement),median(median_AUC_improvement),q3(median_AUC_improvement)
set2,warning_sum,ABU50,True,4,4,4,0,0,0,0.004351004370107585,0.0097383801269214,0.0151150949611766,0.000538477602460318,0.0075353074146909,0.018891177352318,3,3,3,6,1,1,1,0,4.412177328838295e-05,-0.00132407407407405,0.01179166666666655,-0.0001473063973063994,-0.0034217171717171,0.010208333333333375
set2,warning_sum,ABU50,False,3,2,2,0,0,0,-0.007528256463677383,-0.00111576517747545,0.00189829976866215,-0.008605971358451182,-0.00187731585898545,0.0014563599925347,2,1,1,0,0,0,0,0,-0.004783155630377834,-0.0040012626262627,0.000303661616161525,-0.0062542087542087005,-0.007790404040404,-0.001249999999999875
set2,warning_sum,BD50,True,3,3,3,1,1,1,-0.010326281760597598,-0.0037185474569247996,0.006354343502866625,-0.019361369770122868,-0.0018032592920242002,0.0057603068363381,3,3,3,6,1,1,1,2,-0.0012302911514109835,0.00083463745435575,0.0062801338258307755,-0.0008904461628156668,0.0009084737181258003,0.006064594264935925
set2,warning_sum,BD50,False,1,1,1,0,0,0,-0.00249585158309878,-0.0020581691036236,0.0,-0.0026527248446061,-0.0020581691036236,0.0,1,1,1,2,0,0,0,0,-0.0023915124735339804,-0.0027179416367485,0.0,-0.00234603700635184,-0.0020539906103286,0.0
set3,warnings_checker_framework,PBU,True,2,2,2,0,0,0,0.00451891725931272,-0.0009075140246985,0.0144334341563394,0.006117935466705439,-0.0017382683725148,0.0144334341563394,3,2,1,2,0,0,0,0,-0.0009563804506074799,0.0002961151262313,0.0006172839506173,-0.0002190688837965799,-0.0009690150224259,0.0002458037095794
set3,warnings_checker_framework,PBU,False,3,3,3,2,2,2,-0.0002672911113514169,0.00026032479122635,0.00337476260604065,0.0017386536719889666,0.0007272830985112,0.003700329224696525,5,4,4,4,1,1,1,2,0.007452425629597667,0.00353512169405435,0.0056226782484934,0.007906930815885466,0.00315113500597365,0.008751493428912701
set3,warnings_checker_framework,ABU50,True,5,5,5,0,0,0,0.0066927755023647095,0.00487966687674235,0.008858341817700526,0.01071869405754425,0.0074461242191948,0.017788728806088026,4,4,4,6,1,1,1,0,0.011174055368499766,0.0111287878787878,0.01652777777777765,0.008813131313131266,0.008484848484848399,0.0156881313131312
set3,warnings_checker_framework,ABU50,False,5,5,5,0,0,0,0.0276645356891768,0.0030816701105944,0.01267980428853585,0.0345031116514122,0.0042673917613231,0.013513735126984125,5,5,5,8,0,0,0,0,0.005083296590241,0.0026414141414141503,0.0094015151515151,0.0077398989898989,0.00508838383838375,0.010340909090908975
set3,warnings_checker_framework,BD50,True,0,1,0,0,0,0,-0.016897232106186082,-0.01662905347289485,-0.008680679902173749,-0.01890534709099685,-0.01772050219788955,-0.016460161704319798,0,1,0,0,0,0,0,0,-0.016146340339300364,-0.012633361899793801,-0.009616537277404351,-0.01831177697996258,-0.0168283393169474,-0.013674859615207575
set3,warnings_checker_framework,BD50,False,3,2,2,0,0,0,0.01868356309550208,0.0012343152728575,0.0033960292580981,0.01843670004093058,0.0,0.0033960292580981,2,2,2,4,0,0,0,0,0.0013272773898291596,0.0,0.0027777777777777,0.0014468839178863797,0.0,0.0027777777777777
set3,warnings_infer,PBU,True,3,2,2,0,0,0,8.288949289156008e-05,0.0001027715221683,0.0039168113668015,-0.0017133705130035998,-0.0025364274150024,0.0039168113668015,2,1,1,0,0,0,0,0,-0.0031398894046523176,-0.0052270011947431,1.1102230246251563e-16,-0.00435630765614904,-0.0040890573280844,0.0
set3,warnings_infer,PBU,False,1,1,0,0,0,0,-0.0038686268573370664,-0.00062266888986075,0.0,-0.0012523784799745499,0.0,0.0,1,0,0,0,0,0,0,0,-0.0030539641968779833,-0.00099761051373955,0.0,-0.0027230187176423663,-0.0003584229390681,0.0
set3,warnings_infer,ABU50,True,2,3,2,0,0,0,0.012408547852661801,-0.00180760923259625,0.00969831090025895,0.008667265663869134,-0.0009181763671698501,0.010192550705529276,3,3,3,2,0,0,0,0,0.002673774784885917,-0.00051767676767675,0.0078577441077441,0.0010690235690235667,-0.00047979797979805005,0.0036047979797979
set3,warnings_infer,ABU50,False,4,2,2,0,0,0,0.029830105295712384,0.00060004244687315,0.007619241862553826,0.019178395636362634,-0.0008049357793074,0.007346870033321625,2,3,2,2,0,0,0,0,0.0016261557372668665,-0.0007550505050505001,0.0072303391053391754,0.0031144781144781496,3.787878787884992e-05,0.0100694444444444
set3,warnings_infer,BD50,True,1,1,1,1,1,1,-0.007387159953320818,-0.0071737643088606,-0.000988607967899425,-0.00708609029281525,-0.00644327402493035,-0.0008836331814204,1,1,1,2,1,1,1,2,-0.0078788040059529,-0.00893500299180695,-0.001661531690140825,-0.010463749271226501,-0.010246363803737401,-0.00231721209610605
set3,warnings_infer,BD50,False,3,3,3,0,0,0,0.03243044494542422,0.0020119533700218,0.0113636363636364,0.03182616965747466,0.0020119533700218,0.0113636363636364,3,3,3,4,0,0,0,0,0.00795171683696954,0.0014084507042253,0.0072712418300654,0.00758446101445274,0.0014084507042253,0.0072712418300654
set3,warnings_openjml,PBU,True,2,2,2,0,0,0,-0.009534634459313202,-0.0052011047273294,0.0056282713599975,-0.010179824653507781,-0.0068907502863688,0.0016697980481973,1,2,1,2,0,0,0,0,-0.0037389738079849203,-0.0034524439072296,-0.0013722408288775,-0.0030911530250505,-0.0038701843038174,0.0015629590457723
set3,warnings_openjml,PBU,False,1,2,1,0,0,0,-0.0039436805768332,-0.00066703675094315,0.0,-0.0007704098899598334,0.0,0.0015808032512549999,3,4,3,2,0,0,0,0,0.003209734894800066,0.0019483126701529,0.0061351948382619495,0.003496908683758633,0.00137395459976105,0.00332569481168095
set3,warnings_openjml,ABU50,True,3,4,3,0,0,0,-0.004385902700748518,-0.0007478910412928499,0.0031784955608987753,0.003928150499484517,0.0007666890393317,0.0033020584233496254,4,5,3,2,0,0,0,0,0.002940516273849584,0.0010648148148148,0.001676767676767525,0.0009385521885521513,0.0012121212121212,0.001881313131313075
set3,warnings_openjml,ABU50,False,2,2,2,1,1,1,0.026978586892072814,-2.2566487710151684e-05,0.0017931616073261249,0.016424601213662567,-0.00148542865226815,0.0017335866019056,2,3,2,4,0,0,0,0,0.0015408716797605836,-0.0004242424242424,0.000827020202020125,0.001750841750841767,5.050505050505e-05,0.000877525252525225
set3,warnings_openjml,BD50,True,1,2,1,0,0,0,-0.003759489398107916,-0.00453646737318605,-0.001746019561782875,-0.003064313147724866,-0.00379369704555975,0.0007513616974469499,1,1,1,2,0,0,0,0,-0.003396559306212467,-0.00405990773983045,-0.002248515603424425,-0.008150756390192967,-0.007955330019331651,-0.003715306545153225
set3,warnings_openjml,BD50,False,4,3,3,0,0,0,0.029474510474171118,0.0129449208414631,0.0310567409040557,0.024452380299258343,0.0151291372975426,0.0310567409040557,4,3,3,4,0,0,0,0,0.005350754855933,0.0048715824357911,0.0106830525637486,0.0048876921660682806,0.0062287121421337,0.0106830525637486
set3,warnings_typestate_checker,PBU,True,2,2,2,1,1,1,-0.11139195753449177,-0.01042645132035395,0.005710112174859051,-0.10985360732696507,-0.0107268223740788,0.0102067461292701,3,3,3,4,0,0,0,0,-0.0006298694150629166,-0.0016185613899932498,0.00515766488108045,-0.0005090715605435,-0.0004086119435142005,0.0075150077364514
set3,warnings_typestate_checker,PBU,False,2,2,2,2,2,2,-0.003959653125766567,0.0,0.0024521331286575,-0.0015641744361375172,0.0,0.001703482935951225,2,1,1,2,0,0,0,0,0.0003453488620924166,0.0,0.001883776955167725,-0.001984301858706883,-0.00100696280627525,0.0
set3,warnings_typestate_checker,ABU50,True,4,4,4,3,3,3,0.019804433072035915,0.007337247886322449,0.02593502919513865,0.008881003796818018,0.00693283639685485,0.018203246998321376,5,5,5,8,3,3,3,6,0.011899644594088982,0.01564754689754675,0.016805555555555525,0.014368686868686817,0.011515151515151398,0.0208775252525252
set3,warnings_typestate_checker,ABU50,False,3,3,3,1,1,1,0.02195545416146298,0.00296038555260905,0.02303937380126265,0.011413211126152019,-0.0022183832708827502,0.019683644968068577,4,4,4,6,0,0,0,0,0.009576960076960116,0.0119011544011544,0.0134568903318904,0.009368686868686851,0.010909090909090851,0.011313131313131275
set3,warnings_typestate_checker,BD50,True,4,4,4,1,1,1,0.004154503440428667,0.00513353154025565,0.01105048958865535,0.00592467872148705,0.00724850129971455,0.01408522285455125,4,4,4,8,1,1,1,2,0.0052547515485066665,0.0051692781964113995,0.0107624607941767,0.004031555893092749,0.00717659716468745,0.013790360627819125
set3,warnings_typestate_checker,BD50,False,2,1,1,0,0,0,0.00963434518457182,-0.011307005586911,0.000974113381669,0.009303422807217961,-0.011307005586911,0.0,1,1,1,2,0,0,0,0,-0.00276399245144058,-0.0089478044739023,-0.0003182822424744,-0.00364194973764148,-0.0089478044739023,0.0
set3,warning_sum,PBU,True,2,2,2,1,1,1,-0.06015500184991873,-0.01294709724982205,0.0077734578238622,-0.062183785585787806,-0.01097908931348845,0.0014562629627038002,1,2,1,2,0,0,0,0,-0.00491910185348405,-0.00437660359989815,-0.000570808116418925,-0.003867980884109933,-0.00114161623283785,0.000318394147717275
set3,warning_sum,PBU,False,1,2,1,0,0,0,-0.0031118148092442164,-0.0003259166649358,0.0,-0.0013174369980109499,0.0,0.001254930668005875,1,2,1,0,0,0,0,0,0.00017952566086275006,-0.00011604677125555,0.0,0.0013773005333908,0.0,0.00133931194547265
set3,warning_sum,ABU50,True,4,4,4,1,1,1,0.011890997938627168,0.00554665376100915,0.011305450252827224,0.021429667544309295,0.011071761998597749,0.01439776583229205,4,5,4,6,1,1,1,2,0.00683280222863555,0.006621212121212101,0.013608405483405351,0.005143097643097617,0.00565656565656565,0.008226010101010076
set3,warning_sum,ABU50,False,2,1,1,0,0,0,0.001641463026424283,-0.00685799236571245,0.00493475369151705,-0.008758886097473733,-0.0074509198241659,-0.0058110781633746,2,3,2,0,0,0,0,0,-0.00018854216770876675,-0.0035443722943721,0.003833874458874525,0.000989057239057283,0.0,0.005157828282828275
set3,warning_sum,BD50,True,2,2,2,0,0,0,-0.0022019948569023838,-0.00473933635902305,0.0051610522388937504,-0.0027998913329622334,-0.00417264578142725,0.002989762242407075,3,2,2,4,0,0,0,0,0.0006854834069778165,-0.00173707002362755,0.010007115130872475,-0.0022947735432201338,-0.00463528721347695,0.0019865311147932744
set3,warning_sum,BD50,False,2,2,2,1,1,1,0.010509245201232097,-0.0053513215455099,0.0073593860125753,0.0139499326674591,0.0,0.0052700922266138,2,1,1,2,0,0,0,0,-0.0022004357298474808,-0.0019201264230261,0.0013209978827211,-0.00201325600662798,-0.0004476203626991,0.0
set4,warnings_checker_framework,PBU,True,2,2,2,0,0,0,0.03400493683488517,0.0,0.002663125599354375,0.037492322979409985,0.0,0.002663125599354375,3,3,3,2,0,0,0,0,0.0028424068887423003,0.00149281685175385,0.0051277044936703245,0.0023104895835373332,0.0013107899014827,0.0029161035705191247
set4,warnings_checker_framework,PBU,False,1,1,1,1,1,1,0.0013685341697366501,0.0,0.0,5.020940847765013e-05,0.0,0.0,2,2,2,2,0,0,0,0,0.0009526234451318,0.0,0.001926523297490925,-0.00028644456196015,0.0,0.00170250896057355
set4,warnings_checker_framework,ABU50,True,2,2,2,0,0,0,0.055372446719714565,0.0,0.00010061261905830002,0.07917468958836331,0.0,0.00010061261905830002,0,0,0,0,0,0,0,0,-0.00273737373737375,-0.0032777777777778,-0.000787878787878775,-0.0018813131313131,-0.0011363636363636,0.0
set4,warnings_checker_framework,ABU50,False,3,2,2,1,1,1,-0.023188602593173305,0.00039393939393935,0.001479704030716975,-0.02258572264910767,0.0,0.0012827343337473,2,1,1,2,1,1,1,2,-0.001314908342686133,0.0,0.0020606060606061,-0.0017718855218855332,0.0,0.0
set4,warnings_checker_framework,BD50,True,2,2,2,1,1,1,0.006458897028756051,0.0,0.007731105541758975,-0.0007041811345613337,0.0,0.00215532347211735,1,1,1,2,1,1,1,2,-0.0014455366458007001,-0.0003663045813004,0.0,-0.0022797186167111505,-0.00239315796741235,0.0
set4,warnings_checker_framework,BD50,False,0,0,0,0,0,0,-0.02099322607841752,-0.0035772357723577,-0.0030170620058259,-0.0204688380742252,-0.0030170620058259,0.0,0,0,0,0,0,0,0,0,-0.0027604713246800598,-0.0015405504924974,-0.0014297385620914,-0.00314254809905178,-0.0027777777777777,-0.0021028951486697
set4,warnings_infer,PBU,True,2,3,2,0,0,0,0.03521231291662407,0.0,0.00099236641221375,0.041244846400566255,5.735786720473257e-06,0.0009952343055739867,2,2,2,0,0,0,0,0,-0.0009017971199944334,0.0,0.0006048387096774,0.00067644985016745,0.0,0.0006048387096774
set4,warnings_infer,PBU,False,2,2,2,1,1,1,0.0025463853163446835,0.0,0.0008416138053735,0.0011879759430601666,0.0,0.0008416138053735,2,2,2,2,0,0,0,0,0.0006464180556371501,0.0,0.0006048387096773251,-0.0005066233164241167,0.0,0.0006048387096773251
set4,warnings_infer,ABU50,True,3,2,2,0,0,0,0.05347852213378384,0.00017267749569185,0.000445206231558175,0.07865472422872387,0.0,0.0006944173716423,2,1,1,0,0,0,0,0,0.0010794051627384669,0.0,0.001613636363636175,-0.0003577441077441,0.0,0.0
set4,warnings_infer,ABU50,False,0,1,0,0,0,0,-0.01883191816573489,-7.856937932948114e-05,-5.355054409905691e-07,-0.0184830547506551,-7.74983684475e-05,0.0,2,3,2,0,0,0,0,0,-0.0008015338570894268,0.0,1.893939393940447e-05,-0.0009132996632996888,1.2626262626214135e-05,2.5252525252511537e-05
set4,warnings_infer,BD50,True,2,2,2,0,0,0,0.0044868694045229,0.0,0.0037311535428169503,0.0008407095764000833,0.0,0.0018197870417244,1,1,1,2,0,0,0,0,-0.0011282516723434167,0.0,0.0,2.780846297833287e-06,0.0,0.0
set4,warnings_infer,BD50,False,1,1,1,0,0,0,-0.01986258913890702,-0.0017653890824622,0.0,-0.01961349888823862,0.0,0.0,1,1,1,0,0,0,0,0,-0.0017288699517365401,-0.000595238095238,0.0,-0.0024729586670349203,0.0,0.0
set4,warnings_openjml,PBU,True,1,1,1,0,0,0,0.07210888250246451,0.0,0.0,0.04829587099411573,0.0,0.0,3,4,3,2,0,0,0,0,0.0030894800582355626,3.3051295610375675e-06,0.004091199541688744,0.003559338908801278,0.0016459545214172861,0.0049092191080557755
set4,warnings_openjml,PBU,False,1,1,1,1,1,1,0.0018566409514249166,0.0,0.0,0.0002744686832988998,0.0,0.0,2,2,2,2,0,0,0,0,0.00110275035744365,0.0,0.00078405017921145,-3.868225708521664e-05,0.0,0.00078405017921145
set4,warnings_openjml,ABU50,True,2,1,1,0,0,0,0.05324858893836184,0.0,0.00084240090399645,0.07897216523002204,-0.000540220754858,0.0,1,1,1,0,0,0,0,0,-0.00047619047619048335,-0.00046897546897545,0.0,0.00037037037037036645,0.0,0.0
set4,warnings_openjml,ABU50,False,3,4,3,0,0,0,0.024906893220107054,0.0003571413759804,0.0017124859808901752,0.025664539004393735,0.0013354952955107,0.003218175535939825,3,3,3,4,1,1,1,0,0.00107482229704445,0.000580808080808,0.0018434343434340999,0.0005639730639729999,0.000580808080808,0.0018434343434340999
set4,warnings_openjml,BD50,True,3,1,1,1,0,0,0.0035549648575779833,0.000546357615894,0.00386142118844955,-0.0010450524972668857,-0.0003035885133748,0.0,2,2,2,2,1,1,1,0,-0.0008170235251986501,-0.0007042253521127,0.0008425245098038499,-0.0025474469913161165,0.0,0.00041899682408175
set4,warnings_openjml,BD50,False,1,1,1,0,0,0,-0.01996959781772158,-0.0014406761800186,0.0,-0.01845775753370788,0.0,0.0,1,1,1,0,0,0,0,0,-0.0022606394540079797,-0.0005679319197683,0.0,-0.00259090490656358,0.0,0.0
set4,warnings_typestate_checker,PBU,True,3,3,3,0,0,0,0.0760941813392939,0.0006163418834458,0.0014752904882531,0.04985597782506113,0.00060222873593975,0.001671369603571975,2,2,2,2,0,0,0,0,0.0005356866943916833,-8.732070692235e-05,0.0006114489687996,0.0004375012241221167,-0.000290361752551,0.0008659439450027249
set4,warnings_typestate_checker,PBU,False,1,1,1,0,0,0,-0.0003770764382315167,0.0,0.0,-0.0014075669439550336,0.0,0.0,0,0,0,0,0,0,0,0,-0.0020561170195402497,-0.0016183505689719,0.0,-0.002338562782772183,-0.00153823178016725,0.0
set4,warnings_typestate_checker,ABU50,True,1,2,1,0,0,0,0.05272339709210874,-0.0012368052959125,-0.000204264298441725,0.07865629187371903,0.0,0.001462133098419,1,1,0,0,0,0,0,0,0.0006481481481481333,-0.00121717171717175,-0.000275252525252575,-0.0018644781144780732,-0.0011363636363635838,-1.2626262626241893e-05
set4,warnings_typestate_checker,ABU50,False,0,1,0,0,0,0,-0.0291602954025007,-0.0018633854474764,-0.0008665597079008,-0.02833956531270583,-0.0004674747592184,0.0,2,3,2,0,0,0,0,0,-0.0008287504676393502,-0.000232884399551,0.000858585858585825,-0.001759259259259312,1.2626262626214135e-05,0.00030934343434340706
set4,warnings_typestate_checker,BD50,True,2,1,1,1,1,1,0.004152069581037833,-0.00082464048870535,0.00814679773206385,-0.0009865738022816503,-0.00129098308361815,-0.001131361907794875,1,2,1,2,1,1,1,2,-0.001390029462054283,-0.0017377412623891001,-0.00138970396452785,-0.0017499194513486166,-0.001736111111111,0.00043812712878575004
set4,warnings_typestate_checker,BD50,False,2,2,2,0,0,0,-0.019068545954308968,0.0,4.128809477765838e-05,-0.01623512132275387,0.0,4.128809477765838e-05,1,1,1,2,0,0,0,0,-0.00213989382920616,-0.0003463592009573,0.0,-0.00164745005983612,-0.0003463592009573,0.0
set4,warning_sum,PBU,True,5,4,4,0,0,0,0.0691559037945191,0.0021711480939006,0.0034556242038869247,0.050642780758311946,0.000876437650545,0.0025582305221161753,5,4,4,6,1,1,1,0,0.0027345689893430495,0.0017766091492515,0.004927417722675925,0.003294275678816483,0.0010999960828094,0.0056873935013807995
set4,warning_sum,PBU,False,1,1,1,1,1,1,0.0011762566441516334,0.0,0.0,-0.0007048935117915668,0.0,0.0,1,0,0,0,0,0,0,0,-0.0007349803720771666,0.0,0.0,-0.0014624178206057332,0.0,0.0
set4,warning_sum,ABU50,True,2,1,1,0,0,0,0.053117295834315965,-0.00025726522935515,6.499788114749938e-05,0.07499957785783354,-0.00130288960612125,-0.00032491376432625,2,0,0,0,0,0,0,0,-0.000946408529741883,-0.0013585858585858,0.001068181818181725,-0.00194865319865315,-0.0015909090909091,-0.000751262626262575
set4,warning_sum,ABU50,False,2,2,2,1,1,1,-0.024141099105855105,-5.446326452805e-05,0.0002907311209125,-0.023393607494175822,-0.0001089265290561,0.001969570481780625,3,2,2,2,0,0,0,0,-0.0013215488215488167,0.00029040404040405,0.00158459595959595,-0.0017466329966330165,0.0,0.0008143939393938
set4,warning_sum,BD50,True,2,3,2,0,0,0,0.004645020954808483,-8.644491598105e-05,0.0025744093406259,-0.0014298864379499003,0.0006407044169232,0.002332056301952625,1,2,1,2,0,0,0,0,-0.0011356066074490834,-0.00131016217128475,-0.000302968409586025,-0.0009938169320936668,-0.0003472222222222,0.000380160867163725
set4,warning_sum,BD50,False,2,1,1,0,0,0,-0.01918224875562198,0.0,0.0023299656941428,-0.01951547844056382,0.0,0.0,2,2,2,0,0,0,0,0,-0.0016593738173411997,0.0,0.0010711692084242,-0.0024520160176747,0.0,0.0003267973856209
