file,NMI,NMI (avg),NMI (max)
ds_6_snip_3$HibernateORM_execute.java,389.0,7.339622641509434,26.0
ds_2_snip_8_main14.java,67.0,11.166666666666666,19.0
ds_2_snip_5_main10.java,46.0,4.181818181818182,13.0
ds_6_snip_1$SpringBatch_testFailureAndRecovery.java,250.0,6.097560975609756,19.0
ds_3_snip_83_s15.java,80.0,16.0,20.0
ds_3_snip_58_displayTileCursor.java,54.0,4.909090909090909,18.0
ds_1_snip_9_main9.java,58.0,5.2727272727272725,17.0
ds_9$bc_snip_9_shortenText512.java,207.0,9.857142857142858,25.0
ds_6_snip_1$OpenCMSCore_createContextMenu.java,330.0,11.379310344827585,16.0
ds_3_snip_75_Date.java,43.0,8.6,25.0
ds_3_snip_56_getMessage.java,33.0,4.714285714285714,7.0
ds_3_snip_31_s66.java,36.0,7.2,17.0
ds_3_snip_86_runMain.java,70.0,11.666666666666666,29.0
ds_6_snip_5$CarReport_downloadFile.java,103.0,3.814814814814815,20.0
ds_f_snip_RecursiveBinaryToDecimal_compute.java,59.0,6.555555555555555,19.0
ds_3_snip_79_s11.java,11.0,1.8333333333333333,9.0
ds_3_snip_7_deliverGift.java,51.0,8.5,23.0
ds_2_snip_11_main21.java,88.0,8.0,21.0
ds_6_snip_4$K9_StorageManager.java,94.0,6.714285714285714,15.0
ds_9$nc_snip_8_getMove.java,218.0,8.074074074074074,21.0
ds_3_snip_63_s95.java,10.0,2.0,10.0
ds_3_snip_70_s2.java,71.0,5.916666666666667,20.0
ds_3_snip_24_isReadOnly.java,17.0,3.4,13.0
ds_3_snip_62_s94.java,59.0,8.428571428571429,19.0
ds_1_snip_3_main3.java,48.0,3.0,13.0
ds_3_snip_29_s64.java,17.0,2.4285714285714284,7.0
ds_6_snip_1$HibernateORM_getOverriddenColumn.java,45.0,5.0,14.0
ds_f_snip_DumbSort_compute.java,363.0,12.964285714285714,44.0
ds_6_snip_1$EstimatorUtils_getMinMax.java,256.0,7.111111111111111,27.0
ds_3_snip_21_swap.java,18.0,3.6,8.0
ds_3_snip_41_loadColorChip.java,72.0,10.285714285714286,23.0
ds_6_snip_2$SpringBatch_testArtifactUniqueness.java,56.0,2.6666666666666665,9.0
ds_1_snip_7_main7.java,52.0,7.428571428571429,17.0
ds_6_snip_4$SpringBatch_testCustomRecordSeparatorMultilineBlankLineAfterEnd.java,129.0,5.375,15.0
ds_3_snip_17_s52.java,71.0,14.2,29.0
ds_1_snip_4_main4.java,56.0,4.3076923076923075,21.0
ds_3_snip_48_ComparisonFailure.java,17.0,3.4,12.0
ds_2_snip_7_main13.java,35.0,3.888888888888889,13.0
ds_3_snip_91_printFailures.java,24.0,3.0,8.0
ds_3_snip_98_setMapTransform.java,30.0,4.285714285714286,11.0
ds_9$bc_snip_10_shortenText522.java,250.0,10.416666666666666,25.0
ds_9$gc_snip_1_logAndEmailSeriousProblemS111.java,54.0,6.0,13.0
ds_3_snip_60_getAvailableChannels.java,25.0,2.7777777777777777,13.0
ds_3_snip_34_s69.java,44.0,8.8,20.0
ds_9$nc_snip_2_logAndEmailSeriousProblemS123.java,80.0,7.2727272727272725,13.0
ds_6_snip_1$ModelPerformanceChart_performRequest.java,101.0,2.8055555555555554,15.0
ds_2_snip_6_main11.java,36.0,4.0,17.0
ds_3_snip_65_getButtonAction.java,38.0,3.8,23.0
ds_2_snip_4_main8.java,56.0,6.222222222222222,17.0
ds_6_snip_2$MyExpenses_getContentProviderOperationsForCreate.java,459.0,7.403225806451613,22.0
ds_1_snip_22_main22.java,92.0,9.2,22.0
ds_3_snip_26_s61.java,27.0,2.4545454545454546,13.0
ds_1_snip_13_main13.java,35.0,3.888888888888889,13.0
ds_2_snip_9_main17.java,95.0,6.333333333333333,13.0
ds_9$nc_snip_6_writeUTable323.java,255.0,7.96875,23.0
ds_3_snip_74_s6.java,0.0,0.0,0.0
ds_3_snip_57_getStateString.java,28.0,2.8,7.0
ds_1_snip_20_main20.java,59.0,4.916666666666667,17.0
ds_3_snip_64_actionPerformed2.java,52.0,10.4,20.0
ds_1_snip_11_main11.java,36.0,4.0,17.0
ds_3_snip_77_getDatabaseURIs.java,72.0,9.0,18.0
ds_6_snip_1$Pom_HealthReport.java,112.0,3.6129032258064515,21.0
ds_6_snip_1$Antlr4Master_analyze.java,230.0,9.2,24.0
ds_6_snip_2$CarReport_onCreate.java,274.0,7.2105263157894735,25.0
ds_1_snip_17_main17.java,95.0,6.333333333333333,13.0
ds_3_snip_53_addMessage.java,25.0,3.5714285714285716,11.0
ds_6_snip_1$ClassifierPerformanceEvaluatorCustomizer_addButtons.java,116.0,3.135135135135135,28.0
ds_9$bc_snip_1_logAndEmailSeriousProblemS112.java,54.0,6.75,13.0
ds_9$gc_snip_6_writeUTable321.java,255.0,7.96875,23.0
ds_3_snip_50_s82.java,21.0,2.625,14.0
ds_3_snip_36_mousePressed.java,34.0,4.857142857142857,14.0
ds_1_snip_15_main15.java,141.0,7.421052631578948,27.0
ds_6_snip_3$K9_open_withXoauth2Extension_shouldThrowOnMultipleFailure.java,247.0,9.5,16.0
ds_f_snip_CountVowels_compute.java,91.0,7.583333333333333,24.0
ds_9$bc_snip_6_writeUTable.java,255.0,7.96875,23.0
ds_6_snip_2$K9_getInstance.java,163.0,6.791666666666667,30.0
ds_3_snip_92_getNormalisedTime.java,18.0,2.5714285714285716,9.0
ds_3_snip_1_ComparisonCompactor.java,11.0,2.2,9.0
ds_3_snip_43_TestClassRunnerForParameters.java,32.0,6.4,19.0
ds_f_snip_lengthOfLastWord_compute.java,89.0,5.933333333333334,17.0
ds_3_snip_28_getDescription.java,46.0,7.666666666666667,18.0
ds_3_snip_76_TestMethodRunner.java,60.0,12.0,34.0
ds_6_snip_4$CarReport_showFullScreenChart.java,249.0,6.916666666666667,25.0
ds_3_snip_2_s34.java,40.0,3.076923076923077,9.0
ds_1_snip_19_main19.java,145.0,12.083333333333334,26.0
ds_6_snip_2$Pom__getRuns.java,73.0,2.433333333333333,15.0
ds_3_snip_5_expectedException.java,63.0,9.0,22.0
ds_6_snip_1$MyExpenses_contribFeatureCalled.java,210.0,6.363636363636363,24.0
ds_3_snip_11_s45.java,37.0,7.4,13.0
ds_3_snip_72_Grantee.java,39.0,4.875,12.0
ds_3_snip_14_close.java,5.0,0.5,5.0
ds_f_snip_RecursiveCrossSum_compute.java,22.0,3.6666666666666665,8.0
ds_3_snip_23_s58.java,37.0,7.4,12.0
ds_6_snip_3$OpenCMSCore_execute.java,266.0,5.659574468085107,34.0
ds_6_snip_2$Antlr4Master_process.java,293.0,5.528301886792453,19.0
ds_6_snip_4$HibernateORM_extractSequenceValue.java,169.0,6.5,17.0
ds_3_snip_81_assertEquals.java,37.0,4.111111111111111,14.0
ds_3_snip_82_removeName.java,60.0,8.571428571428571,21.0
ds_3_snip_39_compact.java,30.0,4.285714285714286,18.0
ds_3_snip_93_check.java,98.0,12.25,28.0
ds_6_snip_4$Phoenix_process.java,391.0,6.627118644067797,22.0
ds_3_snip_42_s76.java,39.0,7.8,13.0
ds_f_snip_YesNo_compute.java,33.0,2.357142857142857,13.0
ds_f_snip_SquareRoot_compute.java,130.0,8.666666666666666,23.0
ds_3_snip_61_getParametersMethod.java,82.0,6.3076923076923075,18.0
ds_6_snip_3$Phoenix_configure.java,306.0,7.463414634146342,26.0
ds_6_snip_1$CarReport_save.java,119.0,4.25,14.0
ds_6_snip_3$Antlr4Master_hasSLLConflictTerminatingPrediction.java,65.0,3.611111111111111,16.0
ds_3_snip_22_s57.java,26.0,5.2,13.0
ds_3_snip_45_getAnnotatedClasses.java,43.0,7.166666666666667,15.0
ds_1_snip_8_main8.java,56.0,6.222222222222222,17.0
ds_6_snip_5$Pom_loadClass.java,79.0,2.6333333333333333,15.0
ds_3_snip_71_compactString.java,52.0,6.5,17.0
ds_9$gc_snip_7_getMove411.java,161.0,8.473684210526315,21.0
ds_2_snip_12_main22.java,92.0,9.2,22.0
ds_3_snip_6_s39.java,48.0,9.6,22.0
ds_3_snip_84_s16.java,8.0,1.3333333333333333,8.0
ds_3_snip_94_s26.java,48.0,6.0,16.0
ds_9$gc_snip_10_shortenText521.java,250.0,10.416666666666666,25.0
ds_2_snip_10_main20.java,59.0,4.916666666666667,17.0
ds_3_snip_73_quit.java,18.0,2.5714285714285716,12.0
ds_6_snip_1$K9_testFetchResponse.java,152.0,6.333333333333333,14.0
ds_9$bc_snip_8_getMove422.java,218.0,8.074074074074074,21.0
ds_3_snip_33_run.java,32.0,6.4,14.0
ds_6_snip_3$MyExpenses_mergeUpdate.java,301.0,6.543478260869565,18.0
ds_6_snip_3$Pom_get.java,237.0,5.266666666666667,29.0
ds_6_snip_1$GeneratorPropertyIteratorPanel_actionPerformed.java,63.0,2.1,21.0
ds_9$bc_snip_4_apply222.java,134.0,4.962962962962963,22.0
ds_3_snip_49_importPackage.java,39.0,5.571428571428571,13.0
ds_3_snip_19_s54.java,54.0,10.8,18.0
ds_1_snip_1_main1.java,60.0,6.666666666666667,17.0
ds_3_snip_3_s36.java,60.0,8.571428571428571,26.0
ds_1_snip_5_main5.java,89.0,5.235294117647059,20.0
ds_6_snip_3$SpringBatch_testOperationWithDirectCloseCall.java,108.0,4.32,18.0
ds_3_snip_85_s17.java,32.0,4.571428571428571,13.0
ds_f_snip_isHurricane_compute.java,102.0,6.375,18.0
ds_9$nc_snip_3_apply213.java,98.0,4.083333333333333,22.0
ds_6_snip_1$CheckEstimator_printAttributeSummary.java,123.0,3.1538461538461537,16.0
ds_3_snip_100_Date.java,57.0,11.4,23.0
ds_3_snip_8_s41.java,40.0,4.444444444444445,15.0
ds_6_snip_5$MyExpenses_updateOrClearHeader.java,6.0,0.2727272727272727,6.0
ds_9$nc_snip_1_logAndEmailSeriousProblemS113.java,54.0,6.0,13.0
ds_f_snip_hIndex_compute.java,106.0,7.571428571428571,19.0
ds_6_snip_5$HibernateORM_collectionInfoString.java,103.0,4.681818181818182,13.0
ds_9$nc_snip_7_getMove413.java,161.0,8.473684210526315,21.0
ds_6_snip_5$SpringBatch_initWriterForSimpleCallbackTests.java,130.0,4.814814814814815,13.0
ds_3_snip_46_s79.java,78.0,8.666666666666666,64.0
ds_1_snip_6_main6.java,46.0,7.666666666666667,17.0
ds_9$gc_snip_4_apply.java,134.0,4.962962962962963,22.0
ds_3_snip_27_s62.java,33.0,4.714285714285714,13.0
ds_1_snip_2_main2.java,85.0,5.3125,22.0
ds_9$gc_snip_2_logAndEmailSeriousProblemS121.java,80.0,7.2727272727272725,13.0
ds_3_snip_52_s84.java,19.0,3.8,9.0
ds_6_snip_4$MyExpenses_processChar.java,399.0,9.279069767441861,31.0
ds_f_snip_ContainsSubstring_compute.java,73.0,4.055555555555555,14.0
ds_1_snip_23_main23.java,48.0,9.6,25.0
ds_6_snip_2$Phoenix_evaluate.java,67.0,2.9130434782608696,20.0
ds_6_snip_5$Phoenix_parseOptions.java,78.0,3.391304347826087,18.0
ds_6_snip_4$OpenCMSCore_generateContent.java,50.0,5.0,14.0
ds_3_snip_90_createSettingsPanel.java,12.0,2.0,12.0
ds_1_snip_12_main12.java,101.0,7.769230769230769,19.0
ds_3_snip_95_comuteDisplayPointCentre.java,90.0,15.0,22.0
ds_6_snip_5$OpenCMSCore_buttonHtml.java,35.0,3.5,7.0
ds_3_snip_96_filter.java,60.0,6.666666666666667,16.0
ds_3_snip_87_Constraint.java,45.0,5.0,9.0
ds_9$nc_snip_5_copyUTable313.java,163.0,6.52,23.0
ds_9$gc_snip_8_getMove421.java,218.0,8.074074074074074,21.0
ds_f_snip_RecursivePower_compute.java,61.0,6.777777777777778,18.0
ds_3_snip_89_s21.java,42.0,4.2,16.0
ds_2_snip_1_main1.java,60.0,6.666666666666667,17.0
ds_3_snip_25_s60.java,19.0,3.8,7.0
ds_3_snip_97_s29.java,17.0,3.4,13.0
ds_1_snip_21_main21.java,88.0,8.0,21.0
ds_3_snip_68_purgeOldMessagesFromMessagesToIgnore.java,88.0,8.0,26.0
ds_f_snip_RecursiveFibonacciVariant_compute.java,22.0,3.6666666666666665,8.0
ds_1_snip_10_main10.java,46.0,4.181818181818182,13.0
ds_f_snip_GreatestCommonDivisor_compute.java,37.0,2.3125,5.0
ds_3_snip_18_s53.java,42.0,4.2,17.0
ds_3_snip_35_DisbandUnitAction.java,9.0,1.8,9.0
ds_3_snip_55_correctTimeZone.java,49.0,6.125,13.0
ds_3_snip_38_getListCellRendererComponent.java,98.0,12.25,23.0
ds_6_snip_4$Antlr4Master_removeFast.java,158.0,6.869565217391305,34.0
ds_1_snip_16_main16.java,60.0,10.0,20.0
ds_9$bc_snip_3_apply212.java,98.0,4.083333333333333,22.0
ds_3_snip_9_removeProgram.java,46.0,5.111111111111111,12.0
ds_9$nc_snip_10_shortenText523.java,250.0,10.416666666666666,25.0
ds_9$bc_snip_2_logAndEmailSeriousProblemS122.java,80.0,7.2727272727272725,13.0
ds_3_snip_99_s31.java,21.0,3.0,7.0
ds_3_snip_15_actionPerformed.java,0.0,0.0,0.0
ds_3_snip_51_filter2.java,52.0,5.777777777777778,20.0
ds_6_snip_5$Antlr4Master_testToStringStartStop2.java,259.0,7.194444444444445,16.0
ds_6_snip_1$Phoenix_doDropSchema.java,245.0,7.65625,29.0
ds_9$nc_snip_4_apply223.java,134.0,4.962962962962963,22.0
ds_1_snip_14_main14.java,67.0,11.166666666666666,19.0
ds_2_snip_2_main2.java,85.0,5.3125,22.0
ds_3_snip_80_s12.java,44.0,8.8,20.0
ds_3_snip_44_s77.java,56.0,11.2,14.0
ds_3_snip_67_s99.java,81.0,11.571428571428571,15.0
ds_3_snip_32_addZero.java,47.0,5.875,18.0
ds_3_snip_47_returnToTitle.java,0.0,0.0,0.0
ds_2_snip_3_main7.java,52.0,7.428571428571429,17.0
ds_3_snip_54_jjCanMove_1.java,0.0,0.0,0.0
ds_6_snip_2$OpenCMSCore_seekFile.java,60.0,2.857142857142857,12.0
ds_3_snip_66_s98.java,52.0,10.4,23.0
ds_9$gc_snip_3_apply211.java,98.0,4.083333333333333,22.0
ds_6_snip_3$CarReport_handleFABClick.java,162.0,7.363636363636363,17.0
ds_3_snip_13_readData.java,23.0,4.6,11.0
ds_3_snip_37_getASMModifiers.java,49.0,6.125,14.0
ds_3_snip_59_jjMoveStringLiteralDfa18_0.java,19.0,1.9,19.0
ds_1_snip_18_main18.java,117.0,4.875,17.0
ds_9$gc_snip_9_shortenText511.java,207.0,9.857142857142858,25.0
ds_f_snip_isPalindrome_compute.java,60.0,6.0,19.0
ds_f_snip_ArrayAverage_compute.java,35.0,3.5,11.0
ds_3_snip_16_getBaseName.java,27.0,4.5,12.0
ds_6_snip_4$Pom_limit.java,170.0,5.151515151515151,23.0
ds_3_snip_20_s55.java,32.0,3.5555555555555554,17.0
ds_6_snip_2$HibernateORM_TimesTenDialect.java,220.0,7.096774193548387,19.0
ds_9$bc_snip_7_getMove412.java,161.0,8.473684210526315,21.0
ds_3_snip_10_link.java,15.0,3.0,5.0
ds_3_snip_12_getGlobal.java,15.0,2.5,8.0
ds_3_snip_78_moveUnit.java,33.0,2.75,13.0
ds_3_snip_40_s74.java,13.0,1.8571428571428572,7.0
ds_9$bc_snip_5_copyUTable312.java,163.0,6.52,23.0
ds_f_snip_RecursiveFactorial_compute.java,31.0,5.166666666666667,11.0
ds_3_snip_88_s20.java,6.0,1.2,6.0
ds_3_snip_4_s37.java,47.0,6.714285714285714,14.0
ds_6_snip_5$K9_testTextQuoteToHtmlBlockquote.java,32.0,5.333333333333333,14.0
ds_3_snip_69_s1.java,53.0,4.818181818181818,17.0
ds_9$nc_snip_9_shortenText513.java,207.0,9.857142857142858,25.0
ds_9$gc_snip_5_copyUTable311.java,163.0,6.52,23.0
ds_3_snip_30_s65.java,67.0,9.571428571428571,23.0
